word,key
华夏,古部落、古国、朝代
唐,古部落、古国、朝代
陶唐氏,古部落、古国、朝代
虞,古部落、古国、朝代
有虞氏,古部落、古国、朝代
葛天氏,古部落、古国、朝代
无怀氏,古部落、古国、朝代
西陵氏,古部落、古国、朝代
三代,古部落、古国、朝代
夏,古部落、古国、朝代
夏后氏,古部落、古国、朝代
昆吾,古部落、古国、朝代
顾,古部落、古国、朝代
豕韦,古部落、古国、朝代
南巢氏,古部落、古国、朝代
有易氏,古部落、古国、朝代
胤,古部落、古国、朝代
商,古部落、古国、朝代
殷,古部落、古国、朝代
崇,古部落、古国、朝代
危方,古部落、古国、朝代
旨方,古部落、古国、朝代
御方,古部落、古国、朝代
养方,古部落、古国、朝代
人方,古部落、古国、朝代
虎方,古部落、古国、朝代
夷虎,古部落、古国、朝代
孤竹,古部落、古国、朝代
奄,古部落、古国、朝代
莘,古部落、古国、朝代
邘,古部落、古国、朝代
蒲姑,古部落、古国、朝代
英氏,古部落、古国、朝代
周,古部落、古国、朝代
西周,古部落、古国、朝代
卫,古部落、古国、朝代
齐,古部落、古国、朝代
晋,古部落、古国、朝代
燕,古部落、古国、朝代
鲁,古部落、古国、朝代
宋,古部落、古国、朝代
蔡,古部落、古国、朝代
秦,古部落、古国、朝代
楚,古部落、古国、朝代
荆蛮,古部落、古国、朝代
吴,古部落、古国、朝代
越,古部落、古国、朝代
魏,古部落、古国、朝代
韩,古部落、古国、朝代
徐,古部落、古国、朝代
庸,古部落、古国、朝代
毛,古部落、古国、朝代
郑,古部落、古国、朝代
曹,古部落、古国、朝代
薛,古部落、古国、朝代
邶,古部落、古国、朝代
鄘,古部落、古国、朝代
密,古部落、古国、朝代
应,古部落、古国、朝代
鄂,古部落、古国、朝代
耿,古部落、古国、朝代
霍,古部落、古国、朝代
虢,古部落、古国、朝代
滑,古部落、古国、朝代
杨,古部落、古国、朝代
郐,古部落、古国、朝代
桧,古部落、古国、朝代
管,古部落、古国、朝代
纪,古部落、古国、朝代
郕,古部落、古国、朝代
谭,古部落、古国、朝代
遂,古部落、古国、朝代
戴,古部落、古国、朝代
滕,古部落、古国、朝代
邗,古部落、古国、朝代
郧,古部落、古国、朝代
州,古部落、古国、朝代
申,古部落、古国、朝代
曾,古部落、古国、朝代
鄫,古部落、古国、朝代
缯,古部落、古国、朝代
吕,古部落、古国、朝代
息,古部落、古国、朝代
邓,古部落、古国、朝代
黄,古部落、古国、朝代
项,古部落、古国、朝代
鄀,古部落、古国、朝代
夔,古部落、古国、朝代
江,古部落、古国、朝代
萧,古部落、古国、朝代
沈,古部落、古国、朝代
耼,古部落、古国、朝代
胡,古部落、古国、朝代
陈,古部落、古国、朝代
杞,古部落、古国、朝代
莒,古部落、古国、朝代
随,古部落、古国、朝代
邹,古部落、古国、朝代
邾,古部落、古国、朝代
许,古部落、古国、朝代
蓼,古部落、古国、朝代
蒋,古部落、古国、朝代
莱,古部落、古国、朝代
茅,古部落、古国、朝代
苏,古部落、古国、朝代
杜,古部落、古国、朝代
梁,古部落、古国、朝代
芮,古部落、古国、朝代
邢,古部落、古国、朝代
刘,古部落、古国、朝代
东周,古部落、古国、朝代
春秋,古部落、古国、朝代
十二诸侯,古部落、古国、朝代
战国,古部落、古国、朝代
战国七雄,古部落、古国、朝代
赵,古部落、古国、朝代
肥,古部落、古国、朝代
中山,古部落、古国、朝代
代,古部落、古国、朝代
先秦,古部落、古国、朝代
秦,古部落、古国、朝代
嬴秦,古部落、古国、朝代
汉,古部落、古国、朝代
西汉,古部落、古国、朝代
前汉,古部落、古国、朝代
新,古部落、古国、朝代
东汉,古部落、古国、朝代
后(後)汉,古部落、古国、朝代
匈奴,古部落、古国、朝代
高句丽,古部落、古国、朝代
夫余(餘),古部落、古国、朝代
三国,古部落、古国、朝代
魏,古部落、古国、朝代
曹魏,古部落、古国、朝代
蜀,古部落、古国、朝代
蜀汉,古部落、古国、朝代
季汉,古部落、古国、朝代
刘蜀,古部落、古国、朝代
吴,古部落、古国、朝代
东吴,古部落、古国、朝代
孙吴,古部落、古国、朝代
晋,古部落、古国、朝代
司马晋,古部落、古国、朝代
西晋,古部落、古国、朝代
东晋,古部落、古国、朝代
六朝,古部落、古国、朝代
六代,古部落、古国、朝代
十六国,古部落、古国、朝代
五胡十六国,古部落、古国、朝代
段部,古部落、古国、朝代
仇池,古部落、古国、朝代
宇文部,古部落、古国、朝代
前赵,古部落、古国、朝代
汉,古部落、古国、朝代
成汉,古部落、古国、朝代
前蜀,古部落、古国、朝代
代,古部落、古国、朝代
前凉,古部落、古国、朝代
后(後)赵,古部落、古国、朝代
石赵,古部落、古国、朝代
前燕,古部落、古国、朝代
冉魏,古部落、古国、朝代
前秦,古部落、古国、朝代
苻秦,古部落、古国、朝代
后(後)秦,古部落、古国、朝代
姚秦,古部落、古国、朝代
后(後)燕,古部落、古国、朝代
西燕,古部落、古国、朝代
西秦,古部落、古国、朝代
后(後)凉,古部落、古国、朝代
翟魏,古部落、古国、朝代
南凉,古部落、古国、朝代
南燕,古部落、古国、朝代
西凉,古部落、古国、朝代
北凉,古部落、古国、朝代
蜀,古部落、古国、朝代
后(後)蜀,古部落、古国、朝代
夏,古部落、古国、朝代
北燕,古部落、古国、朝代
黄龙国,古部落、古国、朝代
南北朝,古部落、古国、朝代
南朝,古部落、古国、朝代
北朝,古部落、古国、朝代
宋,古部落、古国、朝代
刘宋,古部落、古国、朝代
齐,古部落、古国、朝代
南齐,古部落、古国、朝代
萧齐,古部落、古国、朝代
梁,古部落、古国、朝代
南梁,古部落、古国、朝代
萧梁,古部落、古国、朝代
后(後)梁,古部落、古国、朝代
北梁,古部落、古国、朝代
陈,古部落、古国、朝代
北魏,古部落、古国、朝代
后(後)魏,古部落、古国、朝代
拓跋魏,古部落、古国、朝代
元魏,古部落、古国、朝代
东魏,古部落、古国、朝代
西魏,古部落、古国、朝代
北齐,古部落、古国、朝代
高齐,古部落、古国、朝代
北周,古部落、古国、朝代
后(後)周,古部落、古国、朝代
宇文周,古部落、古国、朝代
柔然,古部落、古国、朝代
突厥,古部落、古国、朝代
隋,古部落、古国、朝代
杨隋,古部落、古国、朝代
唐,古部落、古国、朝代
李唐,古部落、古国、朝代
四唐,古部落、古国、朝代
初唐,古部落、古国、朝代
盛唐,古部落、古国、朝代
中唐,古部落、古国、朝代
晚唐,古部落、古国、朝代
武周,古部落、古国、朝代
吐谷浑,古部落、古国、朝代
高昌,古部落、古国、朝代
回纥,古部落、古国、朝代
吐蕃,古部落、古国、朝代
薛延陀,古部落、古国、朝代
渤海,古部落、古国、朝代
南诏,古部落、古国、朝代
大理,古部落、古国、朝代
五代十国,古部落、古国、朝代
五代,古部落、古国、朝代
十国,古部落、古国、朝代
后(後)梁,古部落、古国、朝代
后(後)唐,古部落、古国、朝代
后(後)晋,古部落、古国、朝代
后(後)汉,古部落、古国、朝代
后(後)周,古部落、古国、朝代
吴,古部落、古国、朝代
前蜀,古部落、古国、朝代
吴越,古部落、古国、朝代
楚,古部落、古国、朝代
闽,古部落、古国、朝代
南汉,古部落、古国、朝代
荆南,古部落、古国、朝代
南平,古部落、古国、朝代
后(後)蜀,古部落、古国、朝代
南唐,古部落、古国、朝代
北汉,古部落、古国、朝代
宋,古部落、古国、朝代
赵宋,古部落、古国、朝代
北宋,古部落、古国、朝代
南宋,古部落、古国、朝代
辽,古部落、古国、朝代
契丹,古部落、古国、朝代
西辽,古部落、古国、朝代
西夏,古部落、古国、朝代
金,古部落、古国、朝代
元,古部落、古国、朝代
北元,古部落、古国、朝代
明,古部落、古国、朝代
朱明,古部落、古国、朝代
南明,古部落、古国、朝代
后(後)金,古部落、古国、朝代
清,古部落、古国、朝代
周,古部落、古国、朝代
丁丑,年　号
人庆,年　号
大义,年　号
大丰(豐),年　号
大历(曆),年　号
大中,年　号
大世,年　号
大业,年　号
大宁,年　号
大有,年　号
大成,年　号
大同,年　号
大庆,年　号
大兴,年　号
大安,年　号
大观,年　号
大足,年　号
大亨,年　号
大明,年　号
大和,年　号
大宝,年　号
大定,年　号
大顺,年　号
大统,年　号
大通,年　号
大象,年　号
大康,年　号
大德,年　号
大中祥符,年　号
大圣天王,年　号
大成兴胜,年　号
万历(曆),年　号
万乘,年　号
万岁通天,年　号
万岁登封,年　号
上元,年　号
上明,年　号
上治,年　号
上愿,年　号
上德,年　号
久视,年　号
广安,年　号
广运,年　号
广明,年　号
广政,年　号
广顺,年　号
广德,年　号
义宁,年　号
义和,年　号
义熙,年　号
王霸,年　号
开元,年　号
开平,年　号
开成,年　号
开庆,年　号
开兴,年　号
开运,年　号
开明,年　号
开宝,年　号
开皇,年　号
开泰,年　号
开熙,年　号
开禧,年　号
开耀,年　号
天开,年　号
天元,年　号
天历(曆),年　号
天凤,年　号
天正,年　号
天平,年　号
天册,年　号
天汉,年　号
天圣,年　号
天成,年　号
天会,年　号
天庆,年　号
天兴,年　号
天安,年　号
天纪,年　号
天寿,年　号
天佑,年　号
天应,年　号
天启,年　号
天明,年　号
天和,年　号
天命,年　号
天宝,年　号
天定,年　号
天建,年　号
天显,年　号
天复,年　号
天顺,年　号
天保,年　号
天皇,年　号
天祐,年　号
天祚,年　号
天统,年　号
天泰,年　号
天载,年　号
天监,年　号
天造,年　号
天玺,年　号
天绣,年　号
天盛,年　号
天授,年　号
天辅,年　号
天康,年　号
天眷,年　号
天赐,年　号
天禄,年　号
天福,年　号
天嘉,年　号
天聪,年　号
天德,年　号
天赞,年　号
天禧,年　号
天仪治平,年　号
天册万岁,年　号
天安礼定,年　号
天祐民安,年　号
天祐垂圣,年　号
天瑞景星,年　号
天授礼法延祚,年　号
天赐礼盛国庆,年　号
元丰(豐),年　号
元凤,年　号
元平,年　号
元贞,年　号
元光,年　号
元延,年　号
元兴,年　号
元寿,年　号
元亨,年　号
元初,年　号
元和,年　号
元始,年　号
元封,年　号
元狩,年　号
元祐,年　号
元统,年　号
元玺,年　号
元朔,年　号
元符,年　号
元象,年　号
元康,年　号
元鼎,年　号
元嘉,年　号
元熙,年　号
元德,年　号
元徽,年　号
五凤,年　号
太上,年　号
太元,年　号
太平,年　号
太宁,年　号
太延,年　号
太兴,年　号
太安,年　号
太极,年　号
太初,年　号
太昌,年　号
太和,年　号
太建,年　号
太始,年　号
太康,年　号
太清,年　号
太熙,年　号
太平兴国,年　号
太平真君,年　号
太初元将,年　号
日新,年　号
中平,年　号
中兴,年　号
中和,年　号
中统,年　号
中大同,年　号
中大通,年　号
中元克复,年　号
见龙,年　号
升(昇)元,年　号
升平,年　号
升(昇)明,年　号
长乐,年　号
长庆,年　号
长兴,年　号
长安,年　号
长寿,年　号
仁安,年　号
仁寿,年　号
凤历(曆),年　号
凤凰,年　号
凤翔,年　号
文安,年　号
文明,年　号
文治,年　号
文经,年　号
文德,年　号
丑平,年　号
玉恒,年　号
玉衡,年　号
正大,年　号
正元,年　号
正历(曆),年　号
正平,年　号
正光,年　号
正安,年　号
正治,年　号
正始,年　号
正统,年　号
正隆,年　号
正德,年　号
甘露,年　号
本初,年　号
本始,年　号
龙飞,年　号
龙升(昇),年　号
龙凤,年　号
龙兴,年　号
龙纪,年　号
龙启,年　号
龙朔,年　号
龙德,年　号
平赵,年　号
东阳,年　号
仪凤,年　号
白乌,年　号
白龙,年　号
白雀,年　号
玄始,年　号
汉兴,年　号
汉安,年　号
汉昌,年　号
宁康,年　号
永元,年　号
永历(曆),年　号
永凤,年　号
永平,年　号
永乐,年　号
永汉,年　号
永宁,年　号
永弘,年　号
永贞,年　号
永光,年　号
永兴,年　号
永安,年　号
永寿,年　号
永初,年　号
永昌,年　号
永明,年　号
永和,年　号
永定,年　号
永建,年　号
永始,年　号
永泰,年　号
永康,年　号
永淳,年　号
永隆,年　号
永嘉,年　号
永熙,年　号
永德,年　号
永憙,年　号
永徽,年　号
弘光,年　号
弘昌,年　号
弘治,年　号
弘始,年　号
弘道,年　号
圣历(曆),年　号
圣武,年　号
圣明,年　号
地节,年　号
地皇,年　号
成化,年　号
至大,年　号
至元,年　号
至正,年　号
至宁,年　号
至和,年　号
至治,年　号
至顺,年　号
至道,年　号
至德,年　号
贞元,年　号
贞观,年　号
贞明,年　号
贞祐,年　号
光大,年　号
光天,年　号
光化,年　号
光兴,年　号
光宅,年　号
光寿,年　号
光启,年　号
光初,年　号
光和,年　号
光定,年　号
光始,年　号
光绪,年　号
光熙,年　号
光熹,年　号
同光,年　号
同庆,年　号
同治,年　号
朱雀,年　号
先天,年　号
延平,年　号
延光,年　号
延庆,年　号
延兴,年　号
延寿,年　号
延初,年　号
延昌,年　号
延和,年　号
延祐,年　号
延载,年　号
延康,年　号
延熙,年　号
延熹,年　号
延嗣宁国,年　号
全义,年　号
会同,年　号
会昌,年　号
庆元,年　号
庆历(曆),年　号
交泰,年　号
兴元,年　号
兴平,年　号
兴宁,年　号
兴圣,年　号
兴光,年　号
兴安,年　号
兴和,年　号
兴定,年　号
安乐,年　号
安国,年　号
安和,年　号
安定,年　号
阳朔,年　号
阳嘉,年　号
收国,年　号
如意,年　号
寿光,年　号
寿昌,年　号
赤乌,年　号
赤符,年　号
孝昌,年　号
孝治,年　号
孝建,年　号
孝基,年　号
更始,年　号
利贞,年　号
应天,年　号
应历(曆),年　号
应运,年　号
应顺,年　号
应乾,年　号
应道,年　号
证圣,年　号
初元,年　号
初历(曆),年　号
初平,年　号
初始,年　号
武义,年　号
武平,年　号
武成,年　号
武定,年　号
武泰,年　号
武烈,年　号
武德,年　号
青龙,年　号
转运,年　号
昌平,年　号
昌达,年　号
昌武,年　号
明圣,年　号
明应,年　号
明启,年　号
明昌,年　号
明治,年　号
明政,年　号
明通,年　号
明道,年　号
明德,年　号
鸣凤,年　号
罗平,年　号
垂拱,年　号
和平,年　号
阜昌,年　号
征和,年　号
金统,年　号
庚子,年　号
炎兴,年　号
法尧,年　号
河平,年　号
河清,年　号
河瑞,年　号
治平,年　号
宝大,年　号
宝义,年　号
宝元,年　号
宝历(曆),年　号
宝正,年　号
宝庆,年　号
宝应,年　号
宝胜,年　号
宝祐,年　号
宝鼎,年　号
定武,年　号
定鼎,年　号
建义,年　号
建元,年　号
建中,年　号
建文,年　号
建世,年　号
建平,年　号
建宁,年　号
建弘,年　号
建贞,年　号
建光,年　号
建兴,年　号
建安,年　号
建极,年　号
建初,年　号
建武,年　号
建昌,年　号
建国,年　号
建明,年　号
建和,年　号
建炎,年　号
建始,年　号
建昭,年　号
建康,年　号
建隆,年　号
建福,年　号
建熙,年　号
建德,年　号
建衡,年　号
建中靖国,年　号
建武中元,年　号
居摄,年　号
始元,年　号
始平,年　号
始光,年　号
始兴,年　号
始建国,年　号
承平,年　号
承玄,年　号
承圣,年　号
承光,年　号
承安,年　号
承明,年　号
承康,年　号
承智,年　号
绍汉,年　号
绍圣,年　号
绍兴,年　号
绍武,年　号
绍定,年　号
绍泰,年　号
绍熙,年　号
政和,年　号
咸丰(豐),年　号
咸平,年　号
咸宁,年　号
咸安,年　号
咸亨,年　号
咸和,年　号
咸通,年　号
咸康,年　号
咸清,年　号
咸淳,年　号
咸雍,年　号
咸熙,年　号
拱化,年　号
显圣,年　号
显庆,年　号
显德,年　号
昭宁,年　号
昭武,年　号
重光,年　号
重和,年　号
重熙,年　号
复汉,年　号
顺义,年　号
顺天,年　号
顺治,年　号
顺德,年　号
保大,年　号
保天,年　号
保立,年　号
保宁,年　号
保安,年　号
保和,年　号
保定,年　号
保德,年　号
皇庆,年　号
皇兴,年　号
皇初,年　号
皇建,年　号
皇始,年　号
皇祐,年　号
皇统,年　号
皇泰,年　号
胜光,年　号
总章,年　号
洪化,年　号
洪武,年　号
洪熙,年　号
洪德,年　号
宣光,年　号
宣和,年　号
宣政,年　号
宣统,年　号
宣德,年　号
神历(曆),年　号
神凤,年　号
神功,年　号
神龙,年　号
神册,年　号
神龟,年　号
神武,年　号
神玺,年　号
神兽,年　号
神鼎,年　号
神瑞,年　号
神嘉,年　号
神加,年　号
神爵,年　号
统和,年　号
秦兴,年　号
泰昌,年　号
泰和,年　号
泰定,年　号
泰始,年　号
泰常,年　号
泰豫,年　号
载初,年　号
真王,年　号
真兴,年　号
致和,年　号
晏平,年　号
造历(曆),年　号
唐隆,年　号
祯明,年　号
祥兴,年　号
调露,年　号
通文,年　号
通正,年　号
绥和,年　号
黄龙,年　号
黄初,年　号
黄武,年　号
乾元,年　号
乾化,年　号
乾宁,年　号
乾贞,年　号
乾兴,年　号
