word,key
民族学,民族学
民种学,民族学
人种学,民族学
人种志学,民族学
民族志学,民族学
中国民族志,民族学
文化民族学,民族学
历史民族学,民族学
语言民族学,民族学
民族经济学,民族学
民族人口学,民族学
民族宗教学,民族学
民族伦理学,民族学
民族教育学,民族学
民族科学,民族学
文化人类学,民族学
认知人类学,民族学
心理人类学,民族学
宗教人类学,民族学
经济人类学,民族学
都市人类学,民族学
文化生态学,民族学
文化学,民族学
文化形态学,民族学
考古人类学,民族学
体质人类学,民族学
医学人类学,民族学
人体观察学,民族学
应用人类学,民族学
语言人类学,民族学
人类生态学,民族学
人类个体发生学,民族学
肤纹学,民族学
皮纹学,民族学
进化学派,民族学
新进化论学派,民族学
心理学派,民族学
新心理学派,民族学
传播学派,民族学
播化学派,民族学
文化圈学派,民族学
结构主义人类学学派,民族学
功能学派,民族学
苏维埃学派,民族学
美国历史学派,民族学
社会生物学学派,民族学
社会生活辩证法,民族学
文化相对论,民族学
文化唯物论,民族学
文化客位研究,民族学
文化主位研究,民族学
濡化,民族学
文化熏染,民族学
文化圈,民族学
文化价值,民族学
经济文化类型,民族学
文化接触,民族学
文化分化,民族学
文化涵化,民族学
文化与人格,民族学
文化多元观,民族学
价值多元观,民族学
文化决定论,民族学
文化适应,民族学
文化普遍模式,民族学
价值内化,民族学
亚文化,民族学
副文化,民族学
小群体文化,民族学
跨文化比较法,民族学
田野调查,民族学
参与观察,民族学
多线进化,民族学
单线进化,民族学
类别式亲属制,民族学
说明式亲属制,民族学
泛埃及论,民族学
埃及中心论,民族学
萨丕尔-沃尔夫假说,民族学
蒙昧时代,民族学
野蛮时代,民族学
文明时代,民族学
人属,民族学
氏族,民族学
胞族,民族学
大氏族,民族学
部落,民族学
部落联盟,民族学
部族,民族学
母权制,民族学
母系氏族制,民族学
父权制,民族学
父系氏族制,民族学
家族,民族学
血缘家庭,民族学
血缘婚,民族学
血缘家族公社,民族学
村社,民族学
农村公社,民族学
邻社,民族学
地域公社,民族学
土地公社,民族学
家长奴隶制,民族学
父权奴隶制,民族学
群婚,民族学
级别婚,民族学
内婚制,民族学
族内婚,民族学
外婚制,民族学
族外婚,民族学
对偶婚,民族学
多偶婚,民族学
服役婚,民族学
望门居,民族学
平行从表婚,民族学
交错从表婚,民族学
夫兄弟婚,民族学
转房,民族学
妻姊妹婚,民族学
入赘婚,民族学
招婿婚,民族学
交换婚,民族学
换亲,民族学
同居婚,民族学
习惯法婚姻,民族学
中表婚,民族学
表亲婚,民族学
地域外婚,民族学
兄弟共妻婚,民族学
超级婚姻,民族学
越级婚姻,民族学
优先婚配制,民族学
无婚姻制,民族学
从居制,民族学
婚后住所,民族学
从夫舅居,民族学
双系继嗣,民族学
双系亲属,民族学
抢婚,民族学
掠夺婚,民族学
乱伦禁忌,民族学
还骨种,民族学
舅霸姑婚,民族学
扩大式家庭,民族学
一妻多夫制,民族学
一夫多妻制,民族学
一夫一妻制,民族学
单偶婚,民族学
普那路亚家庭,民族学
族外群婚,民族学
阿注婚姻,民族学
永宁母系家庭,民族学
家系,民族学
世系群,民族学
血亲,民族学
五服,民族学
姻亲,民族学
亲戚,民族学
亲类,民族学
母系世系群,民族学
女丈夫,民族学
猎头,民族学
岳母回避,民族学
母女连名制,民族学
母子连名制,民族学
父子连名制,民族学
长子继承制,民族学
女子继承制,民族学
幼子继承制,民族学
姑权,民族学
舅权,民族学
不落夫家,民族学
坐家,民族学
血亲复仇,民族学
同态复仇,民族学
乡村社会,民族学
农村社会,民族学
乡村社区,民族学
农村社区,民族学
刻木记事,民族学
干栏,民族学
高栏,民族学
葛栏,民族学
麻栏,民族学
凿齿,民族学
折齿,民族学
拔齿,民族学
打牙,民族学
文身,民族学
